"<label>Make Check payable to:</label> %s","<label>Rendi vaglia postale pagabile a:</label> %s"
"<label>Make Check payable to</label>: %s","<label>Rendi vaglia postale pagabile a</label>: %s"
"Check / Money order","Vaglia postale"
"Send Check to","vaglia postale Inviato a"
"Send Check to:","Invia vaglia postale a:"
"Make Check payable to","Rendi vaglia postale pagabile a"
"Make Check payable to: %s","Rendi vaglia postale pagabile a: %s"

"Pending","In Attesa"
"Pending Payment","In attesa del pagamento"
"Pending PayPal","In Attesa (Pagamento PayPal Ricevuto)"
"Pending (Payment received)","In Attesa (Pagamento Ricevuto)"
"Shipping","In Consegna"
"Processing","In corso"
"Processing (paid)","In corso (Pagamento ricevuto)"
"Processing (Sent)","In corso (Spedito)"
"Processing (Sent COD)","In corso (Spedito contrassegno)"
"Processing (Partially Sent)","In corso (Spedito parzialmente)"
"Processing (Partially Sent COD)","In corso (Spedito parzialmente contrassegno)"
"On Hold","In Sospeso"

"You will be redirected to Paypal in a few seconds.","Entro pochi secondi sarai trasferito al sito di Paypal."

"G.T. (Base)","Totale (Base)"
"G.T. (Purchased)","Totale (Acquistato)"
"Bill to Name","Fattura a"
"Ship to Name","Spedizione a"

"Log into Magento Admin Page","Accedi alla Pagina di Amministrazione"
"Help Us Keep Magento Healthy - Report All Bugs","Aiutaci a migliorare - Segnala tutti i bug"
"Magento Admin","Amministrazione"
"Connect with the Magento Community","Connettiti con la Community"
"Magento Logo","Logo"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento è un marchio registrato di Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc."
"Magento Commerce - Administrative Panel","TT Commerce - Pannello di Amministrazione"
"Magento Connect","Update Connect"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento&trade; &egrave; un marchio registrato di Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc."
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento&trade; &egrave; un marchio registrato di Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc."
"Original Magento attribute names in first row:","Nomi degli attributi originali nella prima riga:"
"We're in our typing table, coding away more features for Magento. Thank you for your patience.","Stiamo lavorando per sviluppare nuove funzionalità. Grazie per la tua pazienza."
"Magento ver. %s","Vers. %s"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","ATTENZIONE! Questa è l'installazione dedicata al testing."
"Zip/Postal Code:","CAP/Codice postale:"
"Zip/Postal Code","CAP/Codice postale"

"Content Management","Gestione del contenuto"
