"<label>Make Check payable to:</label> %s","<label>Rendi vaglia postale pagabile a:</label> %s"
"<label>Make Check payable to</label>: %s","<label>Rendi vaglia postale pagabile a</label>: %s"
"Check / Money order","Vaglia postale"
"Send Check to","vaglia postale Inviato a"
"Send Check to:","Invia vaglia postale a:"
"Make Check payable to","Rendi vaglia postale pagabile a"
"Make Check payable to: %s","Rendi vaglia postale pagabile a: %s"

"Additional Information","Scheda tecnica"
"The subscription was successfully saved","Il cambiamento nella sottoscrizione è avvenuto con successo"

"You will be redirected to Paypal in a few seconds.","Entro pochi secondi sarai trasferito al sito di Paypal."

"Pending","In Attesa"
"Pending Payment","In attesa del pagamento"
"Pending PayPal","In Attesa (Pagamento PayPal Ricevuto)"
"Pending (Payment received)","In Attesa (Pagamento Ricevuto)"
"Shipping","In Consegna"
"Processing","In corso"
"Processing (paid)","In corso (Pagamento ricevuto)"
"Processing (Sent)","In corso (Spedito)"
"Processing (Sent COD)","In corso (Spedito contrassegno)"
"Processing (Partially Sent)","In corso (Spedito parzialmente)"
"Processing (Partially Sent COD)","In corso (Spedito parzialmente contrassegno)"
"On Hold","In Sospeso"

"You will be redirected to GestPay gateway after placing the order.","Dopo aver inserito l'ordine verrai inviato sul sito di Banca Sella per effettuare il pagamento."

"Check items to add to the cart or","Puoi selezionare gli articoli correlati che intendi aggiungere al Carrello insieme al prodotto che stai osservando, oppure utilizza il pulsante “Aggiungi ai Preferiti” per valutarne l’acquisto anche in secondo momento. "
"select all","Seleziona tutto..."
"unselect all","Deseleziona tutto..."
"Availability","Disponibilità"
"We also recommend","Articoli Raccomandati"
"Regular Price:","Prezzo:"
"Special Price","Prezzo Scontato"
"Remove","Rimuovi"

"Ship to different address","Spedisci all'indirizzo di spedizione registrato"
"Ship to this address","Spedisci all'indirizzo di fatturazione"

"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Questo è un negozio demo. Gli ordini emessi attraverso questo negozio non saranno rispettati o eseguiti.<br/> Visita <a href='http://www.sportizzare.it/' style='font-weight:bold; color:#cccccc;' >www.sportizzare.it</a> per la versione reale."
"Payment Information","Modalit&agrave; di Pagamento"
"Shipping Method","Modalit&agrave; di Consegna"

"Browse By","Catalogo Sezione"
"Shop by","Catalogo Reparto"
"Currently Shopping by:","Selezione attuale per:"
"Currently Shopping by","Opzioni Attive"
"Shopping Options","Seleziona per:"
"TAX/VAT Number","Partita IVA/Codice fiscale"
"Tax/VAT number","Partita IVA/Codice fiscale"
"TAX/VAT number is required.","Partita IVA/Codice fiscale è necessario."
"Show Tax/VAT number","Mostra la Partita IVA/Codice fiscale"
"Please <a href=""%s"">continue shopping</a>.","<a href=""%s"">continua gli acquisti</a>."

