"Actions","Actions"
"Add Block","Add Block"
"Add New Block","Add New Block"
"Add to Cart","Add to Cart"
"All Automation types","All Automation types"
"All Current Category Automation Types","All Current Category Automation Types"
"Animation speed, seconds (0 disables animation)","Animation speed, seconds (0 disables animation)"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Auto hide navigation","Auto hide navigation"
"Automatic Position","Automatic Position"
"Automatic layout position isn\'t specified","Automatic layout position isn\'t specified"
"Automatic layout position","Automatic layout position"
"Automation Settings","Automation Settings"
"Automation Type","Automation Type"
"Automation type isn\'t specified","Automation type isn\'t specified"
"Before Content","Before Content"
"Blind Up / Blind Down","Blind Up / Blind Down"
"Block ID isn\'t specified","Block ID isn\'t specified"
"Block ID","Block ID"
"Block Information","Block Information"
"Block name can\'t be empty","Block name can\'t be empty"
"Block succesfully saved and duplicated","Block succesfully saved and duplicated"
"Block succesfully saved","Block succesfully saved"
"Block with the same ID already exists in selected store views","Block with the same ID already exists in selected store views"
"Block","Block"
"Categories aren\'t specified or quantity limit is empty","Categories aren\'t specified or quantity limit is empty"
"Change...","Change..."
"Clear Configuration Cache","Clear Configuration Cache"
"Clear Thumbnails Cache","Clear Thumbnails Cache"
"Configuration cache has been successfully refreshed","Configuration cache has been successfully refreshed"
"Current Category Automation Type","Current Category Automation Type"
"Current Category Products","Current Category Products"
"Delete","Delete"
"Disabled","Disabled"
"Duplicate","Duplicate"
"Edit '%s' Block","Edit '%s' Block"
"Edit","Edit"
"Enabled","Enabled"
"Fade / Appear","Fade / Appear"
"Featured Products","Featured Products"
"General","General"
"Grid","Grid"
"Height, px","Height, px"
"Horizontal","Horizontal"
"ID","ID"
"Image","Image"
"In stock","In stock"
"Installed Representations","Installed Representations"
"Layout type","Layout type"
"Learn More","Learn More"
"Left Column","Left Column"
"List Blocks","List Blocks"
"Most Reviewed","Most Reviewed"
"Name","Name"
"No Image","No Image"
"No one category has been selected","No one category has been selected"
"No representation has been selected","No representation has been selected"
"None","None"
"Out of stock","Out of stock"
"Position","Position"
"Price","Price"
"Product Categories","Product Categories"
"Product Image","Product Image"
"Product Name","Product Name"
"Products aren\'t specified","Products aren\'t specified"
"Products in row","Products in row"
"Quantity Limit","Quantity Limit"
"Random Products","Random Products"
"Recently Added","Recently Added"
"Representation isn\'t specified","Representation isn\'t specified"
"Representation settings","Representation settings"
"Representation","Representation"
"Right Column","Right Column"
"SKU","SKU"
"Save And Continue Edit","Save And Continue Edit"
"Save And Duplicate","Save And Duplicate"
"Select All","Select All"
"Select Categories","Select Categories"
"Select Products","Select Products"
"Show ""Add to cart"" button","Show ""Add to cart"" button"
"Show details","Show details"
"Show price","Show price"
"Show product name","Show product name"
"Simple Slider","Simple Slider"
"Slide Up / Slide Down","Slide Up / Slide Down"
"Slider","Slider"
"Status","Status"
"Store ID isn\'t specified","Store ID isn\'t specified"
"Store View","Store View"
"Switch effect","Switch effect"
"The following symbols are allowed to be used in the \'Block ID\' field: a-z 0-9 - _","The following symbols are allowed to be used in the \'Block ID\' field: a-z 0-9 - _"
"Title","Title"
"Top Rated","Top Rated"
"Top Sellers","Top Sellers"
"Use Default Image","Use Default Image"
"Vertical","Vertical"
"Websites","Websites"
"Width, px","Width, px"
"You can change product images right after saving this block","You can change product images right after saving this block"
