"Cash on delivery prices","Prezzi contrassegno"
"Local destinations","Destinazioni nazionali"
"Foreign destinations","Destinazioni estere"
"Cash on delivery","Contrassegno"
"Enable Cash on delivery","Attiva contrassegno"
"IG Cash on delivery prices - Local fee","IG Cash on delivery prezzi - Importo nazionale"
"Add New Price Rule","Aggiungi nuova regola prezzo"
"IG Cash on delivery prices - Foreign fee","IG Cash on delivery prezzi - Importo estero"
"From amount","Importo a partire da"
"Apply fee","Applica prezzo"
"Apply from amount","Applica a partire dall'importo"
"Cash on delivery fee","Prezzo contrassegno"
"You will be charged an extra fee of %s","Il servizio prevede un costo addizionale di %s"
"Fee Amount","Prezzo aggiuntivo"
"Apply","Applica"
"By Percentage","Come percentuale"
"By Fixed Amount","Come prezzo fisso"
